No.,Movie Name,Rating 
1,Nayakan(1987),8.5
2,AnbeSivam(2003),8.5
3,VikramVedha(2017),8.5
4,Ratsasan(2018),8.4
5,ThevarMagan(1992),8.4
6,Aruvi(2016),8.3
7,PariyerumPerumal(2018),8.3
8,Thalapathi(1991),8.3
9,96(2018),8.3
10,ThaniOruvan(2015),8.2
11,Visaaranai(2015),8.2
12,Iruvar(1997),8.2
13,VadaChennai(2018),8.2
14,DhuruvangalPathinaaru(2016),8.2
15,Peranbu(2018),8.2
16,MichaelMadanaKamarajan(1990),8.1
17,Jigarthanda(2014),8.1
18,Kuruthipunal(1995),8.1
19,Mahanadi(1993),8.1
20,KaakkaaMuttai(2014),8.1
21,MounaRagam(1986),8.1
22,SoodhuKavvum(2013),8.1
23,Pithamagan(2003),8.1
24,ThilluMullu(1981),8.1
25,Mudhalvan(1999),8.1
26,Papanasam(2015),8.1
27,MoondramPirai(1982),8.1
28,Roja(1992),8.1
29,AaranyaKaandam(2010),8.1
30,Anniyan(2005),8.1
31,AlaiPayuthey(2000),8.1
32,TheeranAdhigaaramOndru(2017),8.0
33,Baasha(1995),8.0
34,PudhuPettai(2006),8.0
35,Bombay(1995),8.0
36,SuperDeluxe(2019),8.0
37,ApoorvaSagodharargal(1989),8.0
38,Indian(1996),8.0
39,Virumandi(2004),7.9
40,NaduvulaKonjamPakkathaKaanom(2012),7.9
41,Anjali(1990),7.9
42,Joker(2016),7.9
43,KattradhuThamizh(2007),7.9
44,Pizza(2012),7.9
45,Paruthiveeran(2007),7.9
46,Padaiyappa(1999),7.9
47,HeyRam(2000),7.9
48,Guna(1991),7.9
49,VaaranamAayiram(2008),7.8
50,Maanagaram(2017),7.8
